Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
0,69.45,12.319,0.9,4.473,"0_1: 0.96"
1,86.015,7.041,0.995,4.073,"1_0: 0.96
1_2: 0.929"
2,75.448,8.28,0.998,4.407,"2_1: 0.929
2_3: 0.964
2_15: 0.961"
3,58.816,24.881,0.999,3.929,"3_2: 0.964
3_4: 0.978"
4,35.625,23.724,0.998,4.459,"4_3: 0.978
4_5: 0.98"
5,26.141,10.683,0.998,4.052,"5_4: 0.98
5_6: 0.963"
6,40.629,10.087,0.998,4.39,"6_5: 0.963
6_7: 0.99
6_19: 0.96"
7,38.454,5.942,0.999,4.031,"7_6: 0.99
7_8: 0.992"
8,19.076,7.638,0.999,4.411,"8_7: 0.992
8_9: 0.98"
9,64.882,15.499,0.999,4.161,"9_8: 0.98
9_10: 0.986"
10,80.817,30.566,0.996,4.463,"10_9: 0.986
10_11: 0.968
10_23: 1"
11,120.404,14.622,0.998,4.099,"11_10: 0.968
11_12: 0"
12,68.646,18.661,0,4.431,"12_11: 0"
13,93.036,12.289,0.975,3.865,"13_14: 0
13_26: 1"
14,78.201,25.84,0.998,4.363,"14_13: 0
14_15: 0.979"
15,104.205,16,0.999,4.008,"15_2: 0.961
15_14: 0.979
15_16: 0.99"
16,37.728,26.322,0.997,4.319,"16_15: 0.99
16_17: 0.96"
17,74.412,57.043,0.999,3.907,"17_16: 0.96
17_18: 0.955
17_30: 1"
18,49.66,13.252,0.998,4.432,"18_17: 0.955
18_19: 0"
19,46.191,5.469,0.998,3.961,"19_6: 0.96
19_18: 0
19_20: 0"
20,48.425,10.98,0.962,4.332,"20_19: 0
20_21: 0"
21,60.866,6.277,0.999,3.987,"21_20: 0
21_22: 0.968
21_34: 0.99"
22,78.365,40.27,0.999,4.428,"22_21: 0.968
22_23: 0.984"
23,107.354,58.385,0.999,4.061,"23_10: 1
23_22: 0.984
23_24: 0.991"
24,67.095,18.636,0.999,4.362,"24_23: 0.991
24_25: 0.984"
25,132.743,6.451,0.998,3.981,"25_24: 0.984
25_38: 1"
26,59.738,12.256,0.969,4.505,"26_13: 1
26_27: 0.986"
27,104.584,13.916,0.999,4.208,"27_26: 0.986
27_28: 0"
28,67.591,33.73,0.999,4.361,"28_27: 0
28_29: 0.98
28_41: 0"
29,40.451,13.612,0.999,4.072,"29_28: 0.98
29_30: 0.964"
30,92.225,20.043,0.998,4.438,"30_17: 1
30_29: 0.964
30_31: 0.989"
31,66.732,1.688,0.999,4.026,"31_30: 0.989
31_32: 0"
32,49.257,2.799,0.998,4.399,"32_31: 0
32_33: 0.95
32_45: 1"
33,76.676,34.231,0.999,3.983,"33_32: 0.95
33_34: 0.957"
34,31.307,13.069,0.999,4.441,"34_21: 0.99
34_33: 0.957
34_35: 0.97"
35,4.441,60.643,0.996,3.995,"35_34: 0.97
35_36: 0"
36,49.722,23.943,0.999,4.467,"36_35: 0
36_37: 0.92
36_49: 0.97"
37,71.507,6.816,0.999,4.1,"37_36: 0.92
37_38: 0.984"
38,63.846,16.05,0.999,4.478,"38_25: 1
38_37: 0.984"
39,122.704,49.029,0.999,3.944,"39_40: 0.987
39_52: 0.995"
40,69.649,2.824,0.999,4.265,"40_39: 0.987
40_41: 0.99"
41,96.753,32.947,0.999,3.94,"41_28: 0
41_40: 0.99
41_42: 0.989"
42,54.174,11.687,0.999,4.409,"42_41: 0.989
42_43: 0.99"
43,76.733,5.597,0.999,3.962,"43_42: 0.99
43_44: 0.979
43_56: 0.994"
44,71.709,20.31,0.998,4.299,"44_43: 0.979
44_45: 0.959"
45,83.584,47.704,0.999,4.002,"45_32: 1
45_44: 0.959
45_46: 0.99"
46,55.779,43.187,0.996,4.399,"46_45: 0.99
46_47: 0.979"
47,100.337,26.805,0.999,3.982,"47_46: 0.979
47_48: 0.988
47_60: 0.988"
48,51.614,34.867,0.999,4.297,"48_47: 0.988
48_49: 0.986"
49,83.41,42.847,0.999,3.984,"49_36: 0.97
49_48: 0.986
49_50: 0.99"
50,69.107,20.25,0.999,4.399,"50_49: 0.99
50_51: 0.98"
51,26.314,0.355,0.998,3.991,"51_50: 0.98
51_64: 0.97"
52,32.403,58.77,0.999,4.389,"52_39: 0.995
52_53: 0.991"
53,150.095,24.696,0.999,3.958,"53_52: 0.991
53_54: 0.94"
54,104.95,30.412,0.999,4.382,"54_53: 0.94
54_55: 0.987
54_67: 0.997"
55,11.809,21.702,0.985,3.968,"55_54: 0.987
55_56: 0.988"
56,86.845,51.516,0.998,4.294,"56_43: 0.994
56_55: 0.988
56_57: 0.991"
57,40.648,58.835,0.999,4.067,"57_56: 0.991
57_58: 0.989"
58,62.013,8.331,0.999,4.407,"58_57: 0.989
58_59: 0.97
58_71: 0.985"
59,82.45,35.382,0.999,4.134,"59_58: 0.97
59_60: 0.95"
60,67.188,40.287,0.998,4.395,"60_47: 0.988
60_59: 0.95
60_61: 0"
61,84.84,27.845,0.999,4.14,"61_60: 0
61_62: 0.965"
62,72.053,37.787,0.998,4.483,"62_61: 0.965
62_63: 0.989
62_75: 0.993"
63,99.775,34.1,0.999,4.123,"63_62: 0.989
63_64: 0.96"
64,37.312,21.627,0.999,4.566,"64_51: 0.97
64_63: 0.96"
65,100.393,59.081,0.999,3.919,"65_66: 0
65_78: 0.99"
66,0,0.5,0.99,4.377,"66_65: 0
66_67: 0"
67,106.234,24.07,0.999,3.94,"67_54: 0.997
67_66: 0
67_68: 0.992"
68,93.36,22.658,0.999,4.26,"68_67: 0.992
68_69: 0.989"
69,52.21,25.331,0.999,3.978,"69_68: 0.989
69_70: 0.929
69_82: 0.991"
70,61.364,20.895,0.999,4.478,"70_69: 0.929
70_71: 0.97"
71,100,12.503,0.999,3.941,"71_58: 0.985
71_70: 0.97
71_72: 0.989"
72,78.065,18.116,0.999,4.38,"72_71: 0.989
72_73: 0.995"
73,76.74,30.748,0.999,3.978,"73_72: 0.995
73_74: 0.985
73_86: 0.994"
74,43.208,17.258,0.997,4.424,"74_73: 0.985
74_75: 0.99"
75,112.198,52.095,0.999,3.993,"75_62: 0.993
75_74: 0.99
75_76: 0.994"
76,118.289,22.055,0.999,4.326,"76_75: 0.994
76_77: 0.985"
77,38.893,51.258,0.999,4.03,"77_76: 0.985
77_90: 0.997"
78,75.505,9.815,0.999,4.496,"78_65: 0.99
78_79: 0.989"
79,121.729,17.823,0.999,4.104,"79_78: 0.989
79_80: 0.991"
80,118.315,33.465,0.999,4.347,"80_79: 0.991
80_81: 0.99
80_93: 0.951"
81,89.7,29.727,0.999,4.062,"81_80: 0.99
81_82: 0.988"
82,69.311,24.121,0.999,4.34,"82_69: 0.991
82_81: 0.988
82_83: 0"
83,92.188,25.738,0.999,4.055,"83_82: 0
83_84: 0"
84,51.579,14.64,0.999,4.461,"84_83: 0
84_85: 0.983
84_97: 0.975"
85,82.5,5.353,0.999,4.118,"85_84: 0.983
85_86: 0.989"
86,72.879,34.638,0.999,4.426,"86_73: 0.994
86_85: 0.989
86_87: 0.985"
87,101.271,30.1,0.999,4.052,"87_86: 0.985
87_88: 0.978"
88,40.542,43.851,0.999,4.424,"88_87: 0.978
88_89: 0.997
88_101: 0.995"
89,133.181,20.699,0.999,4.063,"89_88: 0.997
89_90: 0.987"
90,51.799,38.68,0.999,4.501,"90_77: 0.997
90_89: 0.987"
91,149.035,43.176,0.999,3.791,"91_92: 0.94
91_104: 0.97"
92,125.201,29.688,0.999,4.338,"92_91: 0.94
92_93: 0.991"
93,51.119,16.149,0.999,3.985,"93_80: 0.951
93_92: 0.991
93_94: 0.968"
94,13.87,28.883,0.992,4.36,"94_93: 0.968
94_95: 0.988"
95,97.384,15.673,0.999,4.006,"95_94: 0.988
95_96: 0.985
95_108: 0.97"
96,68.757,55.326,0.999,4.38,"96_95: 0.985
96_97: 0.982"
97,53.861,31.771,0.999,3.981,"97_84: 0.975
97_96: 0.982
97_98: 0.983"
98,63.802,50.411,0.999,4.464,"98_97: 0.983
98_99: 0.929"
99,82.316,31,0.999,3.975,"99_98: 0.929
99_100: 0.988
99_112: 0.967"
100,73.017,29.718,0.999,4.369,"100_99: 0.988
100_101: 0.995"
101,102.065,9.806,0.999,4.007,"101_88: 0.995
101_100: 0.995
101_102: 0.98"
102,47.379,15.182,0.999,4.433,"102_101: 0.98
102_103: 0.95"
103,82.827,6.779,0.999,3.969,"103_102: 0.95
103_116: 0"
104,51.596,17.639,0.998,4.404,"104_91: 0.97
104_105: 0.99"
105,114.909,56.46,0.999,4.075,"105_104: 0.99
105_106: 0.985"
106,76.125,19.831,0.999,4.364,"106_105: 0.985
106_107: 0.94
106_119: 0"
107,85.015,35.985,0.999,4.011,"107_106: 0.94
107_108: 0.982"
108,26.183,10.984,0.999,4.404,"108_95: 0.97
108_107: 0.982
108_109: 0.98"
109,94.646,32.473,0.999,3.979,"109_108: 0.98
109_110: 0.986"
110,54.461,13.473,0.999,4.331,"110_109: 0.986
110_111: 0.985
110_123: 0.97"
111,0,0,1,3.992,"111_110: 0.985
111_112: 0.985"
112,38.421,18.386,1,4.488,"112_99: 0.967
112_111: 0.985
112_113: 0"
113,51.783,16.962,0.5,4.116,"113_112: 0
113_114: 0"
114,66.72,50.595,0.998,4.507,"114_113: 0
114_115: 0.978
114_127: 0.92"
115,86.838,37.144,0.999,4.182,"115_114: 0.978
115_116: 0"
116,84.33,80.659,0.999,4.563,"116_103: 0
116_115: 0"
117,97.815,24.532,0.997,4.011,"117_118: 0.98
117_130: 0.98"
118,90.671,37.377,0.999,4.119,"118_117: 0.98
118_119: 0"
119,100.603,53.978,0.999,3.945,"119_106: 0
119_118: 0
119_120: 0.986"
120,113.79,40.838,0.999,4.217,"120_119: 0.986
120_121: 0.983"
121,150.183,25.705,0.991,3.902,"121_120: 0.983
121_122: 0.95
121_134: 0"
122,79.267,3.487,0.999,4.45,"122_121: 0.95
122_123: 0.95"
123,36.414,68.655,0.999,3.992,"123_110: 0.97
123_122: 0.95
123_124: 0"
124,27.679,9.455,0.996,4.361,"124_123: 0
124_125: 0"
125,54.418,38.488,0.999,4.031,"125_124: 0
125_126: 0
125_138: 0.99"
126,28.06,24.676,0.993,4.232,"126_125: 0
126_127: 0.925"
127,84.012,40.747,0.999,3.937,"127_114: 0.92
127_126: 0.925
127_128: 0.97"
128,72.295,43.103,0.999,4.331,"128_127: 0.97
128_129: 0.99"
129,36.003,17.317,0.994,4.022,"129_128: 0.99
129_142: 0"
130,63.79,23.856,0.999,4.388,"130_117: 0.98
130_131: 0.993"
131,110.318,8.189,0.999,4.054,"131_130: 0.993
131_132: 0.99"
132,68.701,1.257,0.999,4.42,"132_131: 0.99
132_133: 0.983
132_145: 0.94"
133,15.453,25.187,0.998,4.066,"133_132: 0.983
133_134: 0.94"
134,82.853,13.679,0.999,4.418,"134_121: 0
134_133: 0.94
134_135: 1"
135,48.547,12.751,0.999,4.065,"135_134: 1
135_136: 0.68"
136,99.102,20.102,0.999,4.536,"136_135: 0.68
136_137: 0.992
136_149: 0.982"
137,56.213,18.405,0.999,4.091,"137_136: 0.992
137_138: 0"
138,27.885,19.835,0.999,4.442,"138_125: 0.99
138_137: 0
138_139: 0.97"
139,40.618,17.424,0.999,4.13,"139_138: 0.97
139_140: 0.998"
140,33.561,5.394,0.82,4.459,"140_139: 0.998
140_141: 0.998
140_153: 0.985"
141,64.453,28.963,0.999,4.111,"141_140: 0.998
141_142: 0.966"
142,49.85,22.902,0.999,4.615,"142_129: 0
142_141: 0.966"
143,177.426,28.369,0.999,3.999,"143_144: 0.975"
144,56.907,19.034,0.999,4.362,"144_143: 0.975
144_145: 0.986"
145,59.202,63.001,0.999,3.953,"145_132: 0.94
145_144: 0.986
145_146: 0.87"
146,101.927,55.648,0.999,4.333,"146_145: 0.87
146_147: 0.95"
147,44.523,6.371,0.999,3.994,"147_146: 0.95
147_148: 0.9"
148,63.683,46.392,1,4.382,"148_147: 0.9
148_149: 0.9"
149,138.511,30.739,0.999,3.953,"149_136: 0.982
149_148: 0.9
149_150: 0.91"
150,123.795,9.223,0.998,4.477,"150_149: 0.91
150_151: 0.929"
151,138.532,32.819,0.999,4.016,"151_150: 0.929
151_152: 0.99"
152,73.49,66.697,0.998,4.414,"152_151: 0.99
152_153: 0.96"
153,132.089,60.608,0.999,3.931,"153_140: 0.985
153_152: 0.96
153_154: 0.96"
154,72.696,11.547,0.999,4.469,"154_153: 0.96
154_155: 0.963"
155,64.48,14.067,0.999,4.043,"155_154: 0.963"